CZ Name,State,"AM, 80-82 Cohort","RM, College Attendance","RM, Teenage birth","RM, College Quality","Average of Percent of adults with less than a high school diploma, 2011-2015","Average of Percent of adults with a high school diploma only, 2011-2015","Average of Percent of adults completing some college or associate's degree, 2011-2015","Average of Percent of adults with a bachelor's degree or higher, 2011-2015",Average of Top 1% Income Share
Las Vegas,NM,42,0.5,-0.278,0.138,15.36666667,32.63333333,33.53333333,18.46666667,0.047596667
Santa Fe,NM,40.1,0.623,-0.275,0.151,11.6,22.35,28.6,37.375,0.095595
Tucumcari,NM,43.6,0.648,,0.176,13.75,38.95,26.75,20.5,0.038125
Clayton,NM,,,,0,19.9,35.3,27.7,17.1,0
Alamosa,CO,45.2,0.496,-0.352,0.122,15.8,26.95,31.55,25.7,0.063786667
Albuquerque,NM,39.3,0.594,-0.327,0.14,15.14,30.46,33.18,21.22,0.082652
Socorro,NM,41.2,0.576,-0.285,0.136,14.55,34.85,28.85,21.75,0.03737
Phoenix,AZ,40.3,0.713,-0.316,0.165,14.73333333,27.7,35.83333333,21.7,0.10278
Safford,AZ,44.7,0.578,-0.255,0.081,14.75,35.2,38.05,12,0.057055
Tucson,AZ,39.9,0.628,-0.298,0.164,17.53333333,23.83333333,33.6,25.06666667,0.125186667
Grand Junction,CO,47.1,0.625,-0.197,0.146,8.24,27.12,29.32,35.34,0.05494
Gunnison,CO,49.6,0.451,,0.131,4.95,19.25,28.4,47.4,0.06273
Farmington,NM,41.7,0.611,-0.183,0.123,9.775,27.75,31.75,30.65,0.0785425
Flagstaff,AZ,41.6,0.609,-0.235,0.152,8.866666667,25.23333333,37.83333333,28,0.256946667
Cortez,CO,46,0.621,-0.247,0.12,12.46666667,32.76666667,32.56666667,22.2,0.04587
Gallup,AZ,34.1,0.572,-0.2,0.104,22.7,32,33.06666667,12.2,0.078016667
Hilo,HI,40.1,0.542,-0.178,0.15,8.7,31.9,32.6,26.8,0.10432
Twin Falls,ID,45.5,0.597,-0.278,0.105,18.4,29.05,32.73333333,19.8,0.071093333
Burley,ID,48.7,0.654,-0.308,0.036,21.7,28.05,34.9,15.35,0.090115
Boise City,ID,42.7,0.664,-0.276,0.107,13.56666667,30.61666667,35.63333333,20.23333333,0.064548333
Ontario,OR,44.2,0.609,-0.205,0.078,16.93333333,32.46666667,36.13333333,14.46666667,0.07026
McCall,ID,44.3,0.509,-0.142,0.104,9,32,33.3,25.65,0.09531
St. George,UT,46.2,0.542,-0.242,0.039,7.9,28.83333333,38.06666667,25.23333333,0.085303333
Price,UT,50,0.586,-0.254,0.058,11,28.93333333,44,16.06666667,0.057876667
Moab,UT,46.1,0.721,,0.094,9.9,24.1,42.3,23.7,0.04036
Richfield,UT,51,0.714,-0.261,0.07,11.6,36,34.56666667,17.86666667,0.045036667
Loa,UT,,,,0,7.3,25.3,40.6,26.8,0
Provo,UT,49.3,0.495,-0.198,0.012,9.166666667,26.96666667,39.46666667,24.36666667,0.099283333
Salt Lake City,UT,46.2,0.608,-0.254,0.058,7.128571429,23.68571429,36.14285714,33.02857143,0.112751429
Logan,UT,50.5,0.55,-0.212,0.041,7.9,31.55,38,22.525,0.0588175
Pocatello,ID,46.4,0.593,-0.22,0.056,13.21111111,30.52222222,35.13333333,21.13333333,0.062716667
Salmon,ID,48.4,0.435,-0.214,0.108,8.9,34.25,32.55,24.3,0.0333
Jackson,WY,50.4,0.569,-0.282,0.145,6.95,19,27.2,46.85,0.362385
Steamboat Springs,CO,51.6,0.501,-0.283,0.132,7.3,31.5,31.93333333,29.23333333,0.090223333
Vernal,UT,56.6,0.529,-0.256,0.04,12.75,35.35,36.45,15.45,0.056235
Soda Springs,ID,53.6,0.384,-0.177,0.057,7.7,37.25,35.85,19.2,0.049875
Rock Springs,WY,52.6,0.515,-0.219,0.105,6.716666667,35.1,38.41666667,19.71666667,0.026513333
Klamath Falls,CA,43.3,0.528,-0.197,0.138,14.2,27.425,40.225,18.175,0.06359
Burns,OR,44,0.574,,0.133,12.4,33.9,36.7,17,0.02673
Lakeview,OR,47.9,0.712,,0.172,15.6,33.4,33.3,17.7,0.09273
Redding,CA,41.8,0.548,-0.269,0.126,14.2,28.15,40.6,17,0.074285
Eureka,CA,39.3,0.591,-0.161,0.149,9.7,28.1,38.2,24,0.067985
Medford,OR,40.8,0.598,-0.192,0.145,11.05,29.75,38,21.15,0.10335
Crescent City,CA,39.5,0.569,-0.158,0.123,14.95,28.4,37.3,19.3,0.08593
Roseburg,OR,40.8,0.643,-0.228,0.142,11.1,32.35,39.5,17,0.08539
Modesto,CA,42.4,0.645,-0.225,0.148,18.775,27.825,35.35,18.025,0.1054
Bakersfield,CA,45.3,0.536,-0.297,0.144,26.6,27.3,30.8,15.4,0.11529
Fresno,CA,41.3,0.594,-0.321,0.154,28.775,24.475,31.75,14.975,0.092285
Chico,CA,42.8,0.545,-0.218,0.145,21.9,24.74,35.9,17.46,0.080096
Sacramento,CA,42.7,0.659,-0.215,0.169,10.73,23.97,36.98,28.33,0.097065
San Jose,CA,44.7,0.476,-0.226,0.148,19.675,18.975,29.3,32.05,0.1613825
Elko,NV,46.9,0.582,-0.231,0.115,15.225,33.65,35.675,15.45,0.0926675
Winnemucca,NV,47.2,0.637,-0.282,0.126,18.9,36.4,31.65,13.05,0.031265
Portola,CA,44.6,0.455,-0.124,0.146,8.45,29.2,42,20.45,0.056345
Reno,NV,41.4,0.65,-0.282,0.143,11.92,29.46,38,20.66,0.099716
Santa Rosa,CA,42.3,0.517,-0.195,0.137,13.9,24.9,37.03333333,24.2,0.115663333
San Francisco,CA,44.4,0.437,-0.188,0.148,12.18571429,17.32857143,28.32857143,42.15714286,0.22033
Las Vegas,NV,40,0.556,-0.258,0.112,13.9,35.08,34.3,16.72,0.075066
Reno,NV,,,,0,12.6,31.2,44.8,11.3,0
Mammoth Lakes,CA,45,0.508,-0.111,0.145,13.75,23.85,34.35,28.1,0.069105
San Diego,CA,44.3,0.575,-0.212,0.168,14,19,31.3,35.7,0.17142
Yuma,CA,44,0.587,-0.228,0.148,31.3,23.45,31.05,14.25,0.09968
Santa Barbara,CA,44.7,0.584,-0.211,0.165,15.35,18.7,33.35,32.6,0.155275
Los Angeles,CA,43.4,0.515,-0.224,0.155,20.11666667,24.33333333,30.6,24.91666667,0.138828333
Lewiston,ID,45,0.657,-0.218,0.138,9.883333333,32.7,37.83333333,19.58333333,0.050441667
Pullman,WA,48.2,0.536,-0.142,0.153,4.4,18.6,29.7,47.25,0.068835
Moses Lake,WA,45.1,0.801,-0.313,0.151,28.95,26.35,29.65,15,0.06612
Wenatchee,WA,45,0.81,-0.286,0.187,17.85,28.9,32.25,20.95,0.095505
Spokane,WA,43.1,0.728,-0.229,0.17,9.9,32.58571429,37.82857143,19.7,0.077208571
Colville,WA,42.3,0.712,-0.216,0.167,13.16666667,31.8,37.73333333,17.3,0.0734
Longview,WA,41.2,0.683,-0.2,0.163,10.68,30.8,41.42,17.12,0.064868
Portland,OR,41.3,0.569,-0.23,0.141,9.016666667,24.86666667,35.71666667,30.41666667,0.11866
The Dalles,OR,43.2,0.571,-0.228,0.156,13.375,29.95,33.9,22.8,0.048355
Eugene,OR,40.5,0.617,-0.252,0.149,10.23333333,25.78333333,35.11666667,28.85,0.099493333
Newport,OR,41.1,0.595,-0.257,0.13,10.85,31.35,35.4,22.35,0.07406
Yakima,WA,43.2,0.8,-0.347,0.186,18.65,26.9,29.75,24.65,0.093055
Kennewick,WA,44.1,0.733,-0.303,0.169,16.58333333,27.71666667,35.33333333,20.38333333,0.059946667
La Grande,OR,45.4,0.624,-0.171,0.115,9.2,32.6,36.35,21.9,0.0693
Enterprise,OR,47.7,0.403,,0.131,6.6,33.1,36,24.3,0.30487
Bend,OR,41.5,0.683,-0.287,0.164,11.83333333,30.06666667,36.83333333,21.36666667,0.08825
Condon,OR,,,,0,9.75,37.7,36.8,15.75,0
John Day,OR,49.7,0.433,,0.105,11.2,32.3,37.4,19.1,0.044
Friday Harbor,WA,39.1,0.528,,0.137,4.6,17.2,31.6,46.6,0.60527
Bellingham,WA,44.1,0.566,-0.146,0.152,8.8,23,35.7,32.5,0.1216
Port Angeles,WA,41.4,0.577,-0.199,0.147,6.8,25.55,36.8,30.85,0.163145
Seattle,WA,43.2,0.599,-0.202,0.156,8.866666667,25.27777778,37.46666667,28.42222222,0.109356667
